Copyright 1986-2022 Xilinx, Inc. All Rights Reserved. Copyright 2022-2024 Advanced Micro Devices, Inc. All Rights Reserved.
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2024.1 (lin64) Build 5076996 Wed May 22 18:36:09 MDT 2024
| Date         : Fri Jul  5 03:38:25 2024
| Host         : binhkieudo running 64-bit Ubuntu 20.04.6 LTS
| Command      : report_utilization -hierarchical -file /home/binhkieudo/Workspace/NewFramework/framework/generated-src/framework.fpga.vc707.VC707woDDRHarness.SmallRocketMTOptimizedMemVC707Config/obj/report/utilization.txt
| Design       : VC707woDDRHarness
| Device       : xc7vx485tffg1761-2
| Speed File   : -2
| Design State : Physopt postRoute
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-------------------------------------------------------------+------------------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------------+
|                           Instance                          |                                    Module                                    | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | DSP Blocks |
+-------------------------------------------------------------+------------------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------------+
| VC707woDDRHarness                                           |                                                                        (top) |      43249 |      40909 |    2320 |   20 | 24133 |     16 |     48 |         84 |
|   (VC707woDDRHarness)                                       |                                                                        (top) |          1 |          1 |       0 |    0 |   125 |      0 |      0 |          0 |
|   chiptop0                                                  |                                                                      ChipTop |      42769 |      40545 |    2204 |   20 | 23623 |     16 |     48 |         84 |
|     debug_reset_syncd_debug_reset_sync                      |                                      AsyncResetSynchronizerShiftReg_w1_d3_i0 |          2 |          2 |       0 |    0 |     3 |      0 |      0 |          0 |
|       output_chain                                          |                            AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_371 |          2 |          2 |       0 |    0 |     3 |      0 |      0 |          0 |
|     system                                                  |                                                                   DigitalTop |      42766 |      40542 |    2204 |   20 | 23617 |     16 |     48 |         84 |
|       (system)                                              |                                                                   DigitalTop |          9 |          9 |       0 |    0 |    13 |      0 |      0 |          0 |
|       clint                                                 |                                                                        CLINT |        190 |        190 |       0 |    0 |   324 |      0 |      0 |          0 |
|       dtm                                                   |                                                     DebugTransportModuleJTAG |        154 |        154 |       0 |    0 |   167 |      0 |      0 |          0 |
|         (dtm)                                               |                                                     DebugTransportModuleJTAG |         19 |         19 |       0 |    0 |    46 |      0 |      0 |          0 |
|         dmiAccessChain                                      |                                                         CaptureUpdateChain_1 |         12 |         12 |       0 |    0 |    41 |      0 |      0 |          0 |
|         dtmInfoChain                                        |                                                           CaptureUpdateChain |          9 |          9 |       0 |    0 |    32 |      0 |      0 |          0 |
|         tapIO_bypassChain                                   |                                                              JtagBypassChain |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|         tapIO_controllerInternal                            |                                                            JtagTapController |        114 |        114 |       0 |    0 |    15 |      0 |      0 |          0 |
|           (tapIO_controllerInternal)                        |                                                            JtagTapController |          3 |          3 |       0 |    0 |     6 |      0 |      0 |          0 |
|           irChain                                           |                                                         CaptureUpdateChain_2 |          3 |          3 |       0 |    0 |     5 |      0 |      0 |          0 |
|           stateMachine                                      |                                                             JtagStateMachine |        108 |        108 |       0 |    0 |     4 |      0 |      0 |          0 |
|         tapIO_idcodeChain                                   |                                                                 CaptureChain |          0 |          0 |       0 |    0 |    32 |      0 |      0 |          0 |
|       gpioClockDomainWrapper                                |                                                            ClockSinkDomain_3 |        139 |        123 |       0 |   16 |   304 |      0 |      0 |          0 |
|         gpio_0                                              |                                                                       TLGPIO |        139 |        123 |       0 |   16 |   304 |      0 |      0 |          0 |
|           (gpio_0)                                          |                                                                       TLGPIO |         27 |         27 |       0 |    0 |   224 |      0 |      0 |          0 |
|           ieReg                                             |                                                      AsyncResetRegVec_w16_i0 |         16 |         16 |       0 |    0 |    16 |      0 |      0 |          0 |
|           inSyncReg_inSyncReg                               |                                                  SynchronizerShiftReg_w16_d3 |         32 |         16 |       0 |   16 |    16 |      0 |      0 |          0 |
|             output_chain                                    |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_355 |          2 |          1 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_1                                  |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_356 |          2 |          1 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_10                                 |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_357 |          2 |          1 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_11                                 |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_358 |          2 |          1 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_12                                 |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_359 |          2 |          1 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_13                                 |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_360 |          2 |          1 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_14                                 |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_361 |          2 |          1 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_15                                 |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_362 |          2 |          1 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_2                                  |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_363 |          2 |          1 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_3                                  |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_364 |          2 |          1 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_4                                  |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_365 |          2 |          1 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_5                                  |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_366 |          2 |          1 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_6                                  |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_367 |          2 |          1 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_7                                  |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_368 |          2 |          1 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_8                                  |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_369 |          2 |          1 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_9                                  |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_370 |          2 |          1 |       0 |    1 |     1 |      0 |      0 |          0 |
|           intsource                                         |                                                     IntSyncCrossingSource_30 |         48 |         48 |       0 |    0 |    16 |      0 |      0 |          0 |
|             reg_0                                           |                                                  AsyncResetRegVec_w16_i0_354 |         48 |         48 |       0 |    0 |    16 |      0 |      0 |          0 |
|           oeReg                                             |                                           AsyncResetRegVec_w16_i0__xdcDup__1 |         16 |         16 |       0 |    0 |    16 |      0 |      0 |          0 |
|           pueReg                                            |                                                  AsyncResetRegVec_w16_i0_353 |          0 |          0 |       0 |    0 |    16 |      0 |      0 |          0 |
|       intsource                                             |                                                     IntSyncCrossingSource_17 |          1 |          1 |       0 |    0 |     2 |      0 |      0 |          0 |
|         reg_0                                               |                                                   AsyncResetRegVec_w2_i0_352 |          1 |          1 |       0 |    0 |     2 |      0 |      0 |          0 |
|       intsource_1                                           |                                                      IntSyncCrossingSource_1 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|         reg_0                                               |                                                   AsyncResetRegVec_w1_i0_351 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
