Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.2 (lin64) Build 3671981 Fri Oct 14 04:59:54 MDT 2022
| Date         : Fri May  3 00:06:08 2024
| Host         : binhkieudo-ASUS running 64-bit Ubuntu 20.04.6 LTS
| Command      : report_utilization -hierarchical -file /home/binhkieudo/Workspace/RISC-V/NewFramework/framework/generated-src/framework.fpga.arty100t.Arty100THarness.SmallRocketArty100TConfig/obj/report/utilization.txt
| Design       : Arty100THarness
| Device       : xc7a100tcsg324-1
| Speed File   : -1
| Design State : Physopt postRoute
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+------------------------------------------------------------------------------+------------------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------------+
|                                   Instance                                   |                                    Module                                    | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | DSP Blocks |
+------------------------------------------------------------------------------+------------------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------------+
| Arty100THarness                                                              |                                                                        (top) |      21234 |      18470 |    2560 |  204 | 13758 |      0 |     21 |         10 |
|   (Arty100THarness)                                                          |                                                                        (top) |         15 |         15 |       0 |    0 |    66 |      0 |      0 |          0 |
|   chiptop0                                                                   |                                                                      ChipTop |      12608 |      11519 |    1088 |    1 |  5453 |      0 |     21 |         10 |
|     debug_reset_syncd_debug_reset_sync                                       |                                      AsyncResetSynchronizerShiftReg_w1_d3_i0 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |          0 |
|       output_chain                                                           |                            AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_338 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |          0 |
|     dmactiveAck_dmactiveAck                                                  |                                           ResetSynchronizerShiftReg_w1_d3_i0 |          9 |          9 |       0 |    0 |     3 |      0 |      0 |          0 |
|       output_chain                                                           |                            AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_337 |          9 |          9 |       0 |    0 |     3 |      0 |      0 |          0 |
|     system                                                                   |                                                                   DigitalTop |      12598 |      11509 |    1088 |    1 |  5444 |      0 |     21 |         10 |
|       (system)                                                               |                                                                   DigitalTop |        197 |          5 |     192 |    0 |     6 |      0 |      0 |          0 |
|       clint                                                                  |                                                                        CLINT |         34 |         34 |       0 |    0 |   129 |      0 |      0 |          0 |
|       dtm                                                                    |                                                     DebugTransportModuleJTAG |        117 |        117 |       0 |    0 |   167 |      0 |      0 |          0 |
|         (dtm)                                                                |                                                     DebugTransportModuleJTAG |         13 |         13 |       0 |    0 |    46 |      0 |      0 |          0 |
|         dmiAccessChain                                                       |                                                         CaptureUpdateChain_1 |          5 |          5 |       0 |    0 |    41 |      0 |      0 |          0 |
|         dtmInfoChain                                                         |                                                           CaptureUpdateChain |          0 |          0 |       0 |    0 |    32 |      0 |      0 |          0 |
|         tapIO_bypassChain                                                    |                                                              JtagBypassChain |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|         tapIO_controllerInternal                                             |                                                            JtagTapController |        100 |        100 |       0 |    0 |    15 |      0 |      0 |          0 |
|           (tapIO_controllerInternal)                                         |                                                            JtagTapController |          3 |          3 |       0 |    0 |     6 |      0 |      0 |          0 |
|           irChain                                                            |                                                         CaptureUpdateChain_2 |          2 |          2 |       0 |    0 |     5 |      0 |      0 |          0 |
|           stateMachine                                                       |                                                             JtagStateMachine |         95 |         95 |       0 |    0 |     4 |      0 |      0 |          0 |
|         tapIO_idcodeChain                                                    |                                                                 CaptureChain |          0 |          0 |       0 |    0 |    32 |      0 |      0 |          0 |
|       intsource                                                              |                                                      IntSyncCrossingSource_5 |          0 |          0 |       0 |    0 |     2 |      0 |      0 |          0 |
|         reg_0                                                                |                                                       AsyncResetRegVec_w2_i0 |          0 |          0 |       0 |    0 |     2 |      0 |      0 |          0 |
|       intsource_1                                                            |                                                      IntSyncCrossingSource_1 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|         reg_0                                                                |                                                   AsyncResetRegVec_w1_i0_336 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|       plicDomainWrapper                                                      |                                                              ClockSinkDomain |         29 |         29 |       0 |    0 |    47 |      0 |      0 |          0 |
|         plic                                                                 |                                                                       TLPLIC |         29 |         29 |       0 |    0 |    47 |      0 |      0 |          0 |
|           (plic)                                                             |                                                                       TLPLIC |          4 |          4 |       0 |    0 |     5 |      0 |      0 |          0 |
|           gateways_gateway                                                   |                                                                 LevelGateway |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|           out_back                                                           |                                                                     Queue_74 |         25 |         25 |       0 |    0 |    41 |      0 |      0 |          0 |
|             (out_back)                                                       |                                                                     Queue_74 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|             ram_ext                                                          |                                                                ram_combMem_9 |         25 |         25 |       0 |    0 |    40 |      0 |      0 |          0 |
|       prci_ctrl_domain                                                       |                                                            ClockSinkDomain_3 |          3 |          3 |       0 |    0 |     4 |      0 |      0 |          0 |
|         clock_gater                                                          |                                                               TileClockGater |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|           regs_0                                                             |                                                       AsyncResetRegVec_w1_i1 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|         resetSynchronizer                                                    |                                                  ClockGroupResetSynchronizer |          3 |          3 |       0 |    0 |     3 |      0 |      0 |          0 |
|           x1_member_allClocks_uncore_reset_catcher                           |                                                     ResetCatchAndSync_d3_333 |          3 |          3 |       0 |    0 |     3 |      0 |      0 |          0 |
|             io_sync_reset_chain                                              |                                  AsyncResetSynchronizerShiftReg_w1_d3_i0_334 |          3 |          3 |       0 |    0 |     3 |      0 |      0 |          0 |
|               output_chain                                                   |                            AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_335 |          3 |          3 |       0 |    0 |     3 |      0 |      0 |          0 |
|       subsystem_cbus                                                         |                                                               PeripheryBus_1 |       3349 |       3153 |     196 |    0 |   546 |      0 |      0 |          0 |
|         (subsystem_cbus)                                                     |                                                               PeripheryBus_1 |          0 |          0 |       0 |    0 |     6 |      0 |      0 |          0 |
|         atomics                                                              |                                                           TLAtomicAutomata_1 |        433 |        433 |       0 |    0 |   206 |      0 |      0 |          0 |
|         buffer                                                               |                                                                   TLBuffer_4 |       1117 |        983 |     134 |    0 |     6 |      0 |      0 |          0 |
|           bundleIn_0_d_q                                                     |                                                                 Queue_57_330 |        134 |         80 |      54 |    0 |     3 |      0 |      0 |          0 |
|             (bundleIn_0_d_q)                                                 |                                                                 Queue_57_330 |         20 |         20 |       0 |    0 |     3 |      0 |      0 |          0 |
|             ram_ext                                                          |                                                            ram_combMem_5_332 |        115 |         61 |      54 |    0 |     0 |      0 |      0 |          0 |
|           x1_a_q                                                             |                                                                     Queue_56 |        983 |        903 |      80 |    0 |     3 |      0 |      0 |          0 |
|             (x1_a_q)                                                         |                                                                     Queue_56 |          3 |          3 |       0 |    0 |     3 |      0 |      0 |          0 |
|             ram_ext                                                          |                                                           ram_combMem_13_331 |        980 |        900 |      80 |    0 |     0 |      0 |      0 |          0 |
